iter	Passed	Remaining
0	85	25620
1	183	27357
2	283	28069
3	390	28912
4	495	29239
5	601	29493
6	694	29069
7	796	29087
8	924	29898
9	1008	29236
10	1087	28576
11	1193	28641
12	1272	28086
13	1351	27612
14	1426	27100
15	1508	26771
16	1586	26413
17	1657	25964
18	1723	25490
19	1788	25039
20	1852	24617
21	1921	24284
22	1987	23941
23	2053	23618
24	2119	23311
25	2191	23094
26	2258	22840
27	2328	22618
28	2393	22369
29	2458	22130
30	2525	21916
31	2589	21689
32	2654	21477
33	2721	21293
34	2786	21099
35	2851	20914
36	2918	20747
37	2986	20587
38	3051	20421
39	3119	20274
40	3183	20113
41	3248	19952
42	3315	19813
43	3385	19699
44	3455	19579
45	3522	19451
46	3589	19324
47	3658	19206
48	3724	19080
49	3790	18952
50	3855	18823
51	3926	18724
52	3994	18616
53	4063	18512
54	4130	18400
55	4196	18286
56	4261	18167
57	4328	18061
58	4396	17956
59	4462	17849
60	4527	17739
61	4592	17629
62	4658	17524
63	4723	17416
64	4788	17312
65	4855	17214
66	4921	17116
67	4989	17023
68	5060	16941
69	5126	16843
70	5193	16750
71	5259	16653
72	5324	16557
73	5395	16479
74	5462	16387
75	5528	16294
76	5593	16200
77	5657	16103
78	5724	16013
79	5789	15922
80	5854	15829
81	5919	15737
82	5985	15647
83	6055	15570
84	6122	15485
85	6189	15400
86	6253	15309
87	6317	15218
88	6385	15139
89	6475	15110
90	6546	15035
91	6619	14966
92	6697	14906
93	6776	14850
94	6848	14778
95	6919	14704
96	6986	14622
97	7052	14537
98	7118	14453
99	7185	14370
100	7250	14284
101	7314	14198
102	7378	14111
103	7447	14036
104	7515	13957
105	7581	13875
106	7648	13795
107	7721	13727
108	7786	13644
109	7852	13562
110	7927	13498
111	8010	13445
112	8082	13375
113	8148	13295
114	8216	13218
115	8281	13135
116	8342	13049
117	8404	12963
118	8468	12880
119	8529	12794
120	8588	12705
121	8645	12614
122	8703	12524
123	8769	12446
124	8827	12358
125	8884	12268
126	8942	12181
127	9001	12096
128	9063	12013
129	9124	11932
130	9183	11846
131	9241	11762
132	9299	11676
133	9356	11590
134	9422	11516
135	9480	11431
136	9542	11353
137	9601	11271
138	9660	11189
139	9722	11110
140	9779	11028
141	9844	10953
142	9904	10874
143	9963	10793
144	10029	10720
145	10088	10640
146	10147	10561
147	10205	10481
148	10263	10400
149	10322	10322
150	10380	10243
151	10438	10164
152	10496	10085
153	10554	10006
154	10615	9930
155	10675	9853
156	10733	9776
157	10791	9698
158	10849	9621
159	10910	9546
160	10973	9473
161	11030	9396
162	11088	9319
163	11146	9243
164	11205	9168
165	11264	9093
166	11321	9016
167	11378	8940
168	11439	8867
169	11498	8793
170	11557	8718
171	11617	8645
172	11676	8571
173	11734	8497
174	11792	8423
175	11850	8349
176	11907	8274
177	11965	8201
178	12023	8127
179	12081	8054
180	12139	7981
181	12196	7907
182	12256	7835
183	12314	7763
184	12373	7691
185	12431	7619
186	12489	7547
187	12547	7474
188	12604	7402
189	12663	7331
190	12722	7260
191	12779	7188
192	12837	7117
193	12896	7046
194	12954	6975
195	13011	6904
196	13069	6833
197	13127	6762
198	13191	6695
199	13251	6625
200	13311	6556
201	13368	6485
202	13426	6415
203	13483	6345
204	13544	6276
205	13603	6207
206	13660	6137
207	13719	6068
208	13777	5998
209	13836	5929
210	13892	5859
211	13952	5791
212	14008	5721
213	14066	5653
214	14137	5589
215	14194	5520
216	14252	5451
217	14312	5383
218	14370	5315
219	14432	5248
220	14490	5179
221	14547	5111
222	14606	5043
223	14666	4976
224	14724	4908
225	14787	4841
226	14845	4773
227	14905	4706
228	14965	4639
229	15022	4571
230	15079	4504
231	15136	4436
232	15193	4369
233	15251	4301
234	15309	4234
235	15387	4172
236	15450	4107
237	15509	4040
238	15569	3973
239	15629	3907
240	15690	3841
241	15762	3777
242	15818	3710
243	15878	3644
244	15936	3577
245	15994	3511
246	16051	3444
247	16109	3377
248	16166	3311
249	16227	3245
250	16285	3179
251	16345	3113
252	16404	3047
253	16465	2981
254	16530	2917
255	16589	2851
256	16647	2785
257	16709	2720
258	16768	2654
259	16826	2588
260	16886	2523
261	16948	2458
262	17006	2392
263	17063	2326
264	17122	2261
265	17182	2196
266	17242	2131
267	17300	2065
268	17359	2000
269	17421	1935
270	17483	1870
271	17541	1805
272	17599	1740
273	17659	1675
274	17719	1610
275	17775	1545
276	17836	1481
277	17897	1416
278	17955	1351
279	18013	1286
280	18071	1221
281	18132	1157
282	18189	1092
283	18254	1028
284	18313	963
285	18375	899
286	18439	835
287	18502	770
288	18574	707
289	18638	642
290	18696	578
291	18754	513
292	18814	449
293	18870	385
294	18929	320
295	18993	256
296	19051	192
297	19117	128
298	19184	64
299	19250	0
